year,previous_ownership,subsequent_ownership,parcels
2019,financial institution,financial institution,1
2019,financial institution,Milwaukee-based landlord,95
2019,financial institution,outside WI landlord,45
2019,financial institution,owner occupied,42
2019,financial institution,rest of Wisconsin landlord,8
2019,financial institution,suburbs landlord,61
2019,Milwaukee-based landlord,Milwaukee-based landlord,412
2019,Milwaukee-based landlord,outside WI landlord,229
2019,Milwaukee-based landlord,owner occupied,702
2019,Milwaukee-based landlord,rest of Wisconsin landlord,43
2019,Milwaukee-based landlord,suburbs landlord,184
2019,outside WI landlord,financial institution,1
2019,outside WI landlord,Milwaukee-based landlord,146
2019,outside WI landlord,outside WI landlord,225
2019,outside WI landlord,owner occupied,254
2019,outside WI landlord,rest of Wisconsin landlord,31
2019,outside WI landlord,suburbs landlord,109
2019,owner occupied,Milwaukee-based landlord,250
2019,owner occupied,outside WI landlord,78
2019,owner occupied,owner occupied,2798
2019,owner occupied,rest of Wisconsin landlord,35
2019,owner occupied,suburbs landlord,175
2019,rest of Wisconsin landlord,Milwaukee-based landlord,30
2019,rest of Wisconsin landlord,outside WI landlord,23
2019,rest of Wisconsin landlord,owner occupied,146
2019,rest of Wisconsin landlord,rest of Wisconsin landlord,9
2019,rest of Wisconsin landlord,suburbs landlord,33
2019,suburbs landlord,Milwaukee-based landlord,225
2019,suburbs landlord,outside WI landlord,156
2019,suburbs landlord,owner occupied,748
2019,suburbs landlord,rest of Wisconsin landlord,29
2019,suburbs landlord,suburbs landlord,241
2020,financial institution,financial institution,3
2020,financial institution,Milwaukee-based landlord,42
2020,financial institution,outside WI landlord,26
2020,financial institution,owner occupied,18
2020,financial institution,rest of Wisconsin landlord,1
2020,financial institution,suburbs landlord,24
2020,Milwaukee-based landlord,Milwaukee-based landlord,488
2020,Milwaukee-based landlord,outside WI landlord,229
2020,Milwaukee-based landlord,owner occupied,797
2020,Milwaukee-based landlord,rest of Wisconsin landlord,46
2020,Milwaukee-based landlord,suburbs landlord,196
2020,outside WI landlord,financial institution,1
2020,outside WI landlord,Milwaukee-based landlord,83
2020,outside WI landlord,outside WI landlord,175
2020,outside WI landlord,owner occupied,258
2020,outside WI landlord,rest of Wisconsin landlord,20
2020,outside WI landlord,suburbs landlord,57
2020,owner occupied,Milwaukee-based landlord,219
2020,owner occupied,outside WI landlord,126
2020,owner occupied,owner occupied,3269
2020,owner occupied,rest of Wisconsin landlord,45
2020,owner occupied,suburbs landlord,204
2020,rest of Wisconsin landlord,Milwaukee-based landlord,34
2020,rest of Wisconsin landlord,outside WI landlord,27
2020,rest of Wisconsin landlord,owner occupied,120
2020,rest of Wisconsin landlord,rest of Wisconsin landlord,15
2020,rest of Wisconsin landlord,suburbs landlord,25
2020,suburbs landlord,Milwaukee-based landlord,198
2020,suburbs landlord,outside WI landlord,192
2020,suburbs landlord,owner occupied,785
2020,suburbs landlord,rest of Wisconsin landlord,30
2020,suburbs landlord,suburbs landlord,229
2021,financial institution,financial institution,1
2021,financial institution,Milwaukee-based landlord,19
2021,financial institution,outside WI landlord,14
2021,financial institution,owner occupied,16
2021,financial institution,rest of Wisconsin landlord,1
2021,financial institution,suburbs landlord,10
2021,Milwaukee-based landlord,Milwaukee-based landlord,492
2021,Milwaukee-based landlord,outside WI landlord,463
2021,Milwaukee-based landlord,owner occupied,952
2021,Milwaukee-based landlord,rest of Wisconsin landlord,37
2021,Milwaukee-based landlord,suburbs landlord,274
2021,outside WI landlord,Milwaukee-based landlord,115
2021,outside WI landlord,outside WI landlord,376
2021,outside WI landlord,owner occupied,374
2021,outside WI landlord,rest of Wisconsin landlord,18
2021,outside WI landlord,suburbs landlord,81
2021,owner occupied,financial institution,1
2021,owner occupied,Milwaukee-based landlord,301
2021,owner occupied,outside WI landlord,201
2021,owner occupied,owner occupied,3729
2021,owner occupied,rest of Wisconsin landlord,41
2021,owner occupied,suburbs landlord,244
2021,rest of Wisconsin landlord,Milwaukee-based landlord,44
2021,rest of Wisconsin landlord,outside WI landlord,53
2021,rest of Wisconsin landlord,owner occupied,149
2021,rest of Wisconsin landlord,rest of Wisconsin landlord,17
2021,rest of Wisconsin landlord,suburbs landlord,33
2021,suburbs landlord,Milwaukee-based landlord,243
2021,suburbs landlord,outside WI landlord,327
2021,suburbs landlord,owner occupied,1025
2021,suburbs landlord,rest of Wisconsin landlord,50
2021,suburbs landlord,suburbs landlord,338
2022,financial institution,Milwaukee-based landlord,15
2022,financial institution,outside WI landlord,9
2022,financial institution,owner occupied,7
2022,financial institution,suburbs landlord,10
2022,Milwaukee-based landlord,Milwaukee-based landlord,257
2022,Milwaukee-based landlord,outside WI landlord,262
2022,Milwaukee-based landlord,owner occupied,388
2022,Milwaukee-based landlord,rest of Wisconsin landlord,47
2022,Milwaukee-based landlord,suburbs landlord,174
2022,outside WI landlord,Milwaukee-based landlord,50
2022,outside WI landlord,outside WI landlord,211
2022,outside WI landlord,owner occupied,193
2022,outside WI landlord,rest of Wisconsin landlord,9
2022,outside WI landlord,suburbs landlord,55
2022,owner occupied,Milwaukee-based landlord,116
2022,owner occupied,outside WI landlord,82
2022,owner occupied,owner occupied,1657
2022,owner occupied,rest of Wisconsin landlord,17
2022,owner occupied,suburbs landlord,122
2022,rest of Wisconsin landlord,Milwaukee-based landlord,26
2022,rest of Wisconsin landlord,outside WI landlord,40
2022,rest of Wisconsin landlord,owner occupied,71
2022,rest of Wisconsin landlord,rest of Wisconsin landlord,17
2022,rest of Wisconsin landlord,suburbs landlord,37
2022,suburbs landlord,Milwaukee-based landlord,113
2022,suburbs landlord,outside WI landlord,246
2022,suburbs landlord,owner occupied,385
2022,suburbs landlord,rest of Wisconsin landlord,18
2022,suburbs landlord,suburbs landlord,156
